41470.25081,.00000,0
41471.07081,.00000,782
41471.94881,.00000,784
41472.82281,.00000,785
41473.71681,.00000,782
41474.68081,.00000,788
41475.54981,.00000,786
41476.41781,.00000,780
41477.32381,.00000,770
41478.21181,.00000,775
41479.17081,.00000,773
41480.53581,.00000,772
41481.94181,.00000,763
41483.32681,.00000,781
41484.59381,.00000,770
41485.87781,.00000,767
41487.18881,.00000,751
41488.54881,.00000,760
41490.43081,.00000,770
41491.76181,.00000,768
41493.13181,.00000,765
41494.41681,.00000,768
41495.62281,.00000,757
41511.78581,.00000,768
41513.14581,.00000,757
41514.49381,.00000,776
41515.93181,.00000,772
41517.41381,.00000,765
41518.68881,.00000,768
41520.02581,.00000,762
41521.36181,.00000,769
41522.74481,.00000,766
41524.15181,.00000,759
41525.45481,.00000,755
41526.82181,.00000,707
41528.17181,.00000,761
41529.58081,.00000,784
41530.95881,.00000,763
41532.30181,.00000,759
41533.65381,.00000,754
41535.03181,.00000,755
41536.42081,.00000,751
41537.81781,.00000,756
41539.28181,.00000,755
41540.62581,.00000,754
41541.92181,.00000,750
41543.26081,.00000,758
41544.61381,.00000,757
41545.90481,.00000,748
41547.27081,.00000,750
41548.53181,.00000,749
41549.87781,.00000,739
41551.17981,.00000,748
41552.56881,.00000,747
41554.01281,.00000,745
41555.37281,.00000,737
41556.69881,.00000,749
41558.08581,.00000,745
41559.40381,.00000,743
41560.77781,.00000,736
41562.05981,.00000,740
41563.43181,.00000,741
41564.67781,.00000,742
41566.06081,.00000,747
41567.48481,.00000,742
41568.79381,.00000,748
41570.18381,.00000,740
41571.63381,.00000,755
41572.92381,.00000,733
41574.31081,.00000,744
41575.57481,.00000,727
41576.89581,.00000,741
41578.26981,.00000,735
41579.67081,.00000,735
41581.00281,.00000,727
41582.30181,.00000,731
41583.69781,.00000,725
41585.10281,.00000,716
41586.54981,.00000,1123
41587.90781,.00000,1325
41589.29781,.00000,1394
41590.59281,.00000,1539
41591.94481,.00000,981
41593.39281,.00000,856
41594.67181,.00000,744
41595.93581,9.01961,728
41597.29481,.00000,715
41598.64081,3.13725,15578
41600.06381,5.09804,1749
41601.40381,6.66667,1880
41602.72181,7.45098,2071
41604.01981,.00000,2073
41605.40281,.00000,2124
41606.84281,.00000,2137
41608.20281,.00000,2125
41609.49281,.00000,2084
41610.84081,8.23529,2838
41612.11581,10.98039,1441
41613.61281,15.68627,1326
41614.90481,18.43137,844
41616.34281,20.39216,804
41617.84081,22.74510,809
41619.08081,22.74510,766
41620.54881,21.56863,768
41621.91381,20.39216,1109
41623.34481,10.58824,1315
41624.77881,7.05882,1410
41626.18381,3.92157,1447
41627.57181,.39216,1320
41628.93881,.39216,1061
41630.21381,.00000,1047
41631.54581,.39216,817
41632.87081,.39216,753
41634.19581,3.13725,761
41635.56481,5.88235,741
41636.86381,7.05882,926
41638.13681,7.84314,1205
41639.39481,5.88235,1516
41640.68381,1.17647,1745
